county number;county name;total number of cells;number of sources;fuelConsumptionWh
03;Oslo;318791797;11;10155668625.510372
11;Rogaland;456449232;10;3732091381.4616165
15;Møre og Romsdal;519976376;9;1256871309.3166933
18;Nordland;1234267735;9;1738870506.813297
30;Viken;1980014360;12;22051634033.81456
34;Innlandet;-1690148837;7;5552616519.535098
38;Vestfold og Telemark;1074830788;10;4681270064.26832
42;Agder;590924552;9;2517683344.73307
46;Vestland;1679378653;10;4423711877.441946
50;Trøndelag;1852564053;10;2716333767.4136276
54;Troms og Finnmark;565266202;7;898447068.5358368
Unknown;Unknown;569131419;10;2747452558.3216267
